AR	ind	sample_id	region	sex	median_cov	normalized_cov
HSFY	ERR1019035	S_Balochi-1	SouthAsia	XY	38	2.11111111111111
RBMY1A1	ERR1019035	S_Balochi-1	SouthAsia	XY	134	7.44444444444444
PRY	ERR1019035	S_Balochi-1	SouthAsia	XY	66	3.66666666666667
BPY2	ERR1019035	S_Balochi-1	SouthAsia	XY	55	3.05555555555556
DAZ	ERR1019035	S_Balochi-1	SouthAsia	XY	72	4
chrY.background	ERR1019035	S_Balochi-1	SouthAsia	XY	18	1
TGIF2LY	ERR1019038	S_Japanese-1	EastAsia	XY	17	0.459459459459459
PCDH11Y	ERR1019038	S_Japanese-1	EastAsia	XY	18	0.486486486486487
SRY	ERR1019038	S_Japanese-1	EastAsia	XY	40	1.08108108108108
RPS4Y1	ERR1019038	S_Japanese-1	EastAsia	XY	39	1.05405405405405
ZFY	ERR1019038	S_Japanese-1	EastAsia	XY	38	1.02702702702703
AMELY	ERR1019038	S_Japanese-1	EastAsia	XY	37	1
TBL1Y	ERR1019038	S_Japanese-1	EastAsia	XY	37	1
PRKY	ERR1019038	S_Japanese-1	EastAsia	XY	34	0.918918918918919
USP9Y	ERR1019038	S_Japanese-1	EastAsia	XY	40	1.08108108108108
DBY	ERR1019038	S_Japanese-1	EastAsia	XY	39	1.05405405405405
UTY	ERR1019038	S_Japanese-1	EastAsia	XY	40	1.08108108108108
TMSB4Y	ERR1019038	S_Japanese-1	EastAsia	XY	37	1
NLGN4Y	ERR1019038	S_Japanese-1	EastAsia	XY	39	1.05405405405405
TXLNGY	ERR1019038	S_Japanese-1	EastAsia	XY	39	1.05405405405405
KDM5D	ERR1019038	S_Japanese-1	EastAsia	XY	38	1.02702702702703
EIF1AY	ERR1019038	S_Japanese-1	EastAsia	XY	38	1.02702702702703
RPS4Y2	ERR1019038	S_Japanese-1	EastAsia	XY	36	0.972972972972973
TSPY	ERR1019038	S_Japanese-1	EastAsia	XY	1065	28.7837837837838
VCY	ERR1019038	S_Japanese-1	EastAsia	XY	46	1.24324324324324
XKRY	ERR1019038	S_Japanese-1	EastAsia	XY	74	2
CDY	ERR1019038	S_Japanese-1	EastAsia	XY	119	3.21621621621622
HSFY	ERR1019038	S_Japanese-1	EastAsia	XY	75	2.02702702702703
RBMY1A1	ERR1019038	S_Japanese-1	EastAsia	XY	271	7.32432432432432
PRY	ERR1019038	S_Japanese-1	EastAsia	XY	135	3.64864864864865
BPY2	ERR1019038	S_Japanese-1	EastAsia	XY	112	3.02702702702703
DAZ	ERR1019038	S_Japanese-1	EastAsia	XY	142	3.83783783783784
chrY.background	ERR1019038	S_Japanese-1	EastAsia	XY	37	1
TGIF2LY	ERR1019040	S_Papuan-3	Oceania	XY	7	0.5
PCDH11Y	ERR1019040	S_Papuan-3	Oceania	XY	7	0.5
SRY	ERR1019040	S_Papuan-3	Oceania	XY	16	1.14285714285714
RPS4Y1	ERR1019040	S_Papuan-3	Oceania	XY	14	1
ZFY	ERR1019040	S_Papuan-3	Oceania	XY	14	1
AMELY	ERR1019040	S_Papuan-3	Oceania	XY	13	0.928571428571429
TBL1Y	ERR1019040	S_Papuan-3	Oceania	XY	13	0.928571428571429
PRKY	ERR1019040	S_Papuan-3	Oceania	XY	12	0.857142857142857
USP9Y	ERR1019040	S_Papuan-3	Oceania	XY	16	1.14285714285714
DBY	ERR1019040	S_Papuan-3	Oceania	XY	14	1
UTY	ERR1019040	S_Papuan-3	Oceania	XY	15	1.07142857142857
TMSB4Y	ERR1019040	S_Papuan-3	Oceania	XY	14	1
NLGN4Y	ERR1019040	S_Papuan-3	Oceania	XY	14	1
TXLNGY	ERR1019040	S_Papuan-3	Oceania	XY	15	1.07142857142857
KDM5D	ERR1019040	S_Papuan-3	Oceania	XY	15	1.07142857142857
EIF1AY	ERR1019040	S_Papuan-3	Oceania	XY	15	1.07142857142857
RPS4Y2	ERR1019040	S_Papuan-3	Oceania	XY	13	0.928571428571429
TSPY	ERR1019040	S_Papuan-3	Oceania	XY	350	25
VCY	ERR1019040	S_Papuan-3	Oceania	XY	15	1.07142857142857
XKRY	ERR1019040	S_Papuan-3	Oceania	XY	31	2.21428571428571
CDY	ERR1019040	S_Papuan-3	Oceania	XY	45	3.21428571428571
HSFY	ERR1019040	S_Papuan-3	Oceania	XY	28	2
RBMY1A1	ERR1019040	S_Papuan-3	Oceania	XY	95	6.78571428571429
PRY	ERR1019040	S_Papuan-3	Oceania	XY	48	3.42857142857143
BPY2	ERR1019040	S_Papuan-3	Oceania	XY	41	2.92857142857143
DAZ	ERR1019040	S_Papuan-3	Oceania	XY	55	3.92857142857143
chrY.background	ERR1019040	S_Papuan-3	Oceania	XY	14	1
TGIF2LY	ERR1019041	S_Adygei-1	WestEurasia	XY	9	0.473684210526316
PCDH11Y	ERR1019041	S_Adygei-1	WestEurasia	XY	10	0.526315789473684
SRY	ERR1019041	S_Adygei-1	WestEurasia	XY	19	1
RPS4Y1	ERR1019041	S_Adygei-1	WestEurasia	XY	20	1.05263157894737
ZFY	ERR1019041	S_Adygei-1	WestEurasia	XY	20	1.05263157894737
AMELY	ERR1019041	S_Adygei-1	WestEurasia	XY	20	1.05263157894737
TBL1Y	ERR1019041	S_Adygei-1	WestEurasia	XY	19	1
PRKY	ERR1019041	S_Adygei-1	WestEurasia	XY	17	0.894736842105263
USP9Y	ERR1019041	S_Adygei-1	WestEurasia	XY	20	1.05263157894737
DBY	ERR1019041	S_Adygei-1	WestEurasia	XY	20	1.05263157894737
UTY	ERR1019041	S_Adygei-1	WestEurasia	XY	21	1.10526315789474
TMSB4Y	ERR1019041	S_Adygei-1	WestEurasia	XY	20	1.05263157894737
NLGN4Y	ERR1019041	S_Adygei-1	WestEurasia	XY	20	1.05263157894737
TXLNGY	ERR1019041	S_Adygei-1	WestEurasia	XY	20	1.05263157894737
KDM5D	ERR1019041	S_Adygei-1	WestEurasia	XY	20	1.05263157894737
EIF1AY	ERR1019041	S_Adygei-1	WestEurasia	XY	20	1.05263157894737
RPS4Y2	ERR1019041	S_Adygei-1	WestEurasia	XY	20	1.05263157894737
TSPY	ERR1019041	S_Adygei-1	WestEurasia	XY	457	24.0526315789474
VCY	ERR1019041	S_Adygei-1	WestEurasia	XY	25	1.31578947368421
XKRY	ERR1019041	S_Adygei-1	WestEurasia	XY	37	1.94736842105263
CDY	ERR1019041	S_Adygei-1	WestEurasia	XY	84	4.42105263157895
HSFY	ERR1019041	S_Adygei-1	WestEurasia	XY	40	2.10526315789474
RBMY1A1	ERR1019041	S_Adygei-1	WestEurasia	XY	161	8.47368421052632
PRY	ERR1019041	S_Adygei-1	WestEurasia	XY	89	4.68421052631579
BPY2	ERR1019041	S_Adygei-1	WestEurasia	XY	78	4.10526315789474
DAZ	ERR1019041	S_Adygei-1	WestEurasia	XY	114	6
chrY.background	ERR1019041	S_Adygei-1	WestEurasia	XY	19	1
TGIF2LY	ERR1019043	S_BantuHerero-2	Africa	XY	9	0.473684210526316
PCDH11Y	ERR1019043	S_BantuHerero-2	Africa	XY	10	0.526315789473684
SRY	ERR1019043	S_BantuHerero-2	Africa	XY	19	1
RPS4Y1	ERR1019043	S_BantuHerero-2	Africa	XY	20	1.05263157894737
ZFY	ERR1019043	S_BantuHerero-2	Africa	XY	20	1.05263157894737
AMELY	ERR1019043	S_BantuHerero-2	Africa	XY	19	1
TBL1Y	ERR1019043	S_BantuHerero-2	Africa	XY	19	1
PRKY	ERR1019043	S_BantuHerero-2	Africa	XY	17	0.894736842105263
USP9Y	ERR1019043	S_BantuHerero-2	Africa	XY	20	1.05263157894737
DBY	ERR1019043	S_BantuHerero-2	Africa	XY	20	1.05263157894737
UTY	ERR1019043	S_BantuHerero-2	Africa	XY	20	1.05263157894737
TMSB4Y	ERR1019043	S_BantuHerero-2	Africa	XY	18	0.947368421052632
NLGN4Y	ERR1019043	S_BantuHerero-2	Africa	XY	19	1
TXLNGY	ERR1019043	S_BantuHerero-2	Africa	XY	19	1
KDM5D	ERR1019043	S_BantuHerero-2	Africa	XY	20	1.05263157894737
EIF1AY	ERR1019043	S_BantuHerero-2	Africa	XY	20	1.05263157894737
RPS4Y2	ERR1019043	S_BantuHerero-2	Africa	XY	19	1
TSPY	ERR1019043	S_BantuHerero-2	Africa	XY	596	31.3684210526316
VCY	ERR1019043	S_BantuHerero-2	Africa	XY	26	1.36842105263158
XKRY	ERR1019043	S_BantuHerero-2	Africa	XY	40	2.10526315789474
CDY	ERR1019043	S_BantuHerero-2	Africa	XY	61	3.21052631578947
HSFY	ERR1019043	S_BantuHerero-2	Africa	XY	39	2.05263157894737
RBMY1A1	ERR1019043	S_BantuHerero-2	Africa	XY	121	6.36842105263158
PRY	ERR1019043	S_BantuHerero-2	Africa	XY	68	3.57894736842105
BPY2	ERR1019043	S_BantuHerero-2	Africa	XY	57	3
DAZ	ERR1019043	S_BantuHerero-2	Africa	XY	75	3.94736842105263
chrY.background	ERR1019043	S_BantuHerero-2	Africa	XY	19	1
TGIF2LY	ERR1019045	S_Basque-1	WestEurasia	XY	9	0.473684210526316
PCDH11Y	ERR1019045	S_Basque-1	WestEurasia	XY	10	0.526315789473684
SRY	ERR1019045	S_Basque-1	WestEurasia	XY	23	1.21052631578947
RPS4Y1	ERR1019045	S_Basque-1	WestEurasia	XY	21	1.10526315789474
ZFY	ERR1019045	S_Basque-1	WestEurasia	XY	21	1.10526315789474
AMELY	ERR1019045	S_Basque-1	WestEurasia	XY	19	1
TBL1Y	ERR1019045	S_Basque-1	WestEurasia	XY	19	1
PRKY	ERR1019045	S_Basque-1	WestEurasia	XY	18	0.947368421052632
USP9Y	ERR1019045	S_Basque-1	WestEurasia	XY	21	1.10526315789474
DBY	ERR1019045	S_Basque-1	WestEurasia	XY	21	1.10526315789474
UTY	ERR1019045	S_Basque-1	WestEurasia	XY	21	1.10526315789474
TMSB4Y	ERR1019045	S_Basque-1	WestEurasia	XY	19	1
NLGN4Y	ERR1019045	S_Basque-1	WestEurasia	XY	19	1
TXLNGY	ERR1019045	S_Basque-1	WestEurasia	XY	20	1.05263157894737
KDM5D	ERR1019045	S_Basque-1	WestEurasia	XY	19	1
EIF1AY	ERR1019045	S_Basque-1	WestEurasia	XY	19	1
RPS4Y2	ERR1019045	S_Basque-1	WestEurasia	XY	20	1.05263157894737
TSPY	ERR1019045	S_Basque-1	WestEurasia	XY	466	24.5263157894737
VCY	ERR1019045	S_Basque-1	WestEurasia	XY	25	1.31578947368421
XKRY	ERR1019045	S_Basque-1	WestEurasia	XY	37	1.94736842105263
CDY	ERR1019045	S_Basque-1	WestEurasia	XY	59	3.10526315789474
HSFY	ERR1019045	S_Basque-1	WestEurasia	XY	37	1.94736842105263
RBMY1A1	ERR1019045	S_Basque-1	WestEurasia	XY	158.5	8.3421052631579
PRY	ERR1019045	S_Basque-1	WestEurasia	XY	66	3.47368421052632
BPY2	ERR1019045	S_Basque-1	WestEurasia	XY	55	2.89473684210526
DAZ	ERR1019045	S_Basque-1	WestEurasia	XY	74	3.89473684210526
chrY.background	ERR1019045	S_Basque-1	WestEurasia	XY	19	1
TGIF2LY	ERR1019050	S_Brahui-1	SouthAsia	XY	8	0.470588235294118
PCDH11Y	ERR1019050	S_Brahui-1	SouthAsia	XY	9	0.529411764705882
SRY	ERR1019050	S_Brahui-1	SouthAsia	XY	17	1
RPS4Y1	ERR1019050	S_Brahui-1	SouthAsia	XY	18	1.05882352941176
ZFY	ERR1019050	S_Brahui-1	SouthAsia	XY	18	1.05882352941176
AMELY	ERR1019050	S_Brahui-1	SouthAsia	XY	17	1
TBL1Y	ERR1019050	S_Brahui-1	SouthAsia	XY	17	1
PRKY	ERR1019050	S_Brahui-1	SouthAsia	XY	15	0.882352941176471
USP9Y	ERR1019050	S_Brahui-1	SouthAsia	XY	18	1.05882352941176
DBY	ERR1019050	S_Brahui-1	SouthAsia	XY	18	1.05882352941176
UTY	ERR1019050	S_Brahui-1	SouthAsia	XY	19	1.11764705882353
TMSB4Y	ERR1019050	S_Brahui-1	SouthAsia	XY	17	1
NLGN4Y	ERR1019050	S_Brahui-1	SouthAsia	XY	17	1
TXLNGY	ERR1019050	S_Brahui-1	SouthAsia	XY	18	1.05882352941176
KDM5D	ERR1019050	S_Brahui-1	SouthAsia	XY	18	1.05882352941176
EIF1AY	ERR1019050	S_Brahui-1	SouthAsia	XY	18	1.05882352941176
RPS4Y2	ERR1019050	S_Brahui-1	SouthAsia	XY	17	1
TSPY	ERR1019050	S_Brahui-1	SouthAsia	XY	360	21.1764705882353
VCY	ERR1019050	S_Brahui-1	SouthAsia	XY	21	1.23529411764706
XKRY	ERR1019050	S_Brahui-1	SouthAsia	XY	34	2
CDY	ERR1019050	S_Brahui-1	SouthAsia	XY	54	3.17647058823529
HSFY	ERR1019050	S_Brahui-1	SouthAsia	XY	34	2
RBMY1A1	ERR1019050	S_Brahui-1	SouthAsia	XY	156	9.17647058823529
PRY	ERR1019050	S_Brahui-1	SouthAsia	XY	60	3.52941176470588
BPY2	ERR1019050	S_Brahui-1	SouthAsia	XY	51	3
DAZ	ERR1019050	S_Brahui-1	SouthAsia	XY	67	3.94117647058824
chrY.background	ERR1019050	S_Brahui-1	SouthAsia	XY	17	1
TGIF2LY	ERR1019051	S_Brahui-2	SouthAsia	XY	7	0.466666666666667
PCDH11Y	ERR1019051	S_Brahui-2	SouthAsia	XY	8	0.533333333333333
SRY	ERR1019051	S_Brahui-2	SouthAsia	XY	16	1.06666666666667
RPS4Y1	ERR1019051	S_Brahui-2	SouthAsia	XY	18	1.2
ZFY	ERR1019051	S_Brahui-2	SouthAsia	XY	18	1.2
AMELY	ERR1019051	S_Brahui-2	SouthAsia	XY	15	1
TBL1Y	ERR1019051	S_Brahui-2	SouthAsia	XY	15	1
PRKY	ERR1019051	S_Brahui-2	SouthAsia	XY	14	0.933333333333333
USP9Y	ERR1019051	S_Brahui-2	SouthAsia	XY	17	1.13333333333333
DBY	ERR1019051	S_Brahui-2	SouthAsia	XY	17	1.13333333333333
UTY	ERR1019051	S_Brahui-2	SouthAsia	XY	18	1.2
TMSB4Y	ERR1019051	S_Brahui-2	SouthAsia	XY	16	1.06666666666667
NLGN4Y	ERR1019051	S_Brahui-2	SouthAsia	XY	16	1.06666666666667
TXLNGY	ERR1019051	S_Brahui-2	SouthAsia	XY	17	1.13333333333333
KDM5D	ERR1019051	S_Brahui-2	SouthAsia	XY	17	1.13333333333333
EIF1AY	ERR1019051	S_Brahui-2	SouthAsia	XY	16	1.06666666666667
RPS4Y2	ERR1019051	S_Brahui-2	SouthAsia	XY	16	1.06666666666667
TSPY	ERR1019051	S_Brahui-2	SouthAsia	XY	440	29.3333333333333
VCY	ERR1019051	S_Brahui-2	SouthAsia	XY	18	1.2
XKRY	ERR1019051	S_Brahui-2	SouthAsia	XY	32	2.13333333333333
CDY	ERR1019051	S_Brahui-2	SouthAsia	XY	52	3.46666666666667
HSFY	ERR1019051	S_Brahui-2	SouthAsia	XY	32	2.13333333333333
RBMY1A1	ERR1019051	S_Brahui-2	SouthAsia	XY	112	7.46666666666667
PRY	ERR1019051	S_Brahui-2	SouthAsia	XY	55	3.66666666666667
BPY2	ERR1019051	S_Brahui-2	SouthAsia	XY	46	3.06666666666667
DAZ	ERR1019051	S_Brahui-2	SouthAsia	XY	61	4.06666666666667
chrY.background	ERR1019051	S_Brahui-2	SouthAsia	XY	15	1
TGIF2LY	ERR1019053	S_French-1	WestEurasia	XY	7	0.35
PCDH11Y	ERR1019053	S_French-1	WestEurasia	XY	10	0.5
SRY	ERR1019053	S_French-1	WestEurasia	XY	21	1.05
RPS4Y1	ERR1019053	S_French-1	WestEurasia	XY	20	1
ZFY	ERR1019053	S_French-1	WestEurasia	XY	20	1
AMELY	ERR1019053	S_French-1	WestEurasia	XY	20	1
TBL1Y	ERR1019053	S_French-1	WestEurasia	XY	20	1
PRKY	ERR1019053	S_French-1	WestEurasia	XY	18	0.9
USP9Y	ERR1019053	S_French-1	WestEurasia	XY	21	1.05
DBY	ERR1019053	S_French-1	WestEurasia	XY	21	1.05
UTY	ERR1019053	S_French-1	WestEurasia	XY	21	1.05
TMSB4Y	ERR1019053	S_French-1	WestEurasia	XY	22	1.1
NLGN4Y	ERR1019053	S_French-1	WestEurasia	XY	20	1
TXLNGY	ERR1019053	S_French-1	WestEurasia	XY	20	1
KDM5D	ERR1019053	S_French-1	WestEurasia	XY	21	1.05
EIF1AY	ERR1019053	S_French-1	WestEurasia	XY	21	1.05
RPS4Y2	ERR1019053	S_French-1	WestEurasia	XY	21	1.05
TSPY	ERR1019053	S_French-1	WestEurasia	XY	602	30.1
VCY	ERR1019053	S_French-1	WestEurasia	XY	27	1.35
XKRY	ERR1019053	S_French-1	WestEurasia	XY	42	2.1
CDY	ERR1019053	S_French-1	WestEurasia	XY	66	3.3
HSFY	ERR1019053	S_French-1	WestEurasia	XY	41	2.05
RBMY1A1	ERR1019053	S_French-1	WestEurasia	XY	146	7.3
PRY	ERR1019053	S_French-1	WestEurasia	XY	72	3.6
BPY2	ERR1019053	S_French-1	WestEurasia	XY	60	3
DAZ	ERR1019053	S_French-1	WestEurasia	XY	78	3.9
chrY.background	ERR1019053	S_French-1	WestEurasia	XY	20	1
TGIF2LY	ERR1019056	S_Han-2	EastAsia	XY	8	0.444444444444444
PCDH11Y	ERR1019056	S_Han-2	EastAsia	XY	9	0.5
SRY	ERR1019056	S_Han-2	EastAsia	XY	19	1.05555555555556
RPS4Y1	ERR1019056	S_Han-2	EastAsia	XY	19	1.05555555555556
ZFY	ERR1019056	S_Han-2	EastAsia	XY	19	1.05555555555556
AMELY	ERR1019056	S_Han-2	EastAsia	XY	19	1.05555555555556
TBL1Y	ERR1019056	S_Han-2	EastAsia	XY	18	1
PRKY	ERR1019056	S_Han-2	EastAsia	XY	17	0.944444444444444
USP9Y	ERR1019056	S_Han-2	EastAsia	XY	20	1.11111111111111
DBY	ERR1019056	S_Han-2	EastAsia	XY	19	1.05555555555556
UTY	ERR1019056	S_Han-2	EastAsia	XY	20	1.11111111111111
TMSB4Y	ERR1019056	S_Han-2	EastAsia	XY	18	1
NLGN4Y	ERR1019056	S_Han-2	EastAsia	XY	19	1.05555555555556
TXLNGY	ERR1019056	S_Han-2	EastAsia	XY	19	1.05555555555556
KDM5D	ERR1019056	S_Han-2	EastAsia	XY	19	1.05555555555556
EIF1AY	ERR1019056	S_Han-2	EastAsia	XY	19	1.05555555555556
RPS4Y2	ERR1019056	S_Han-2	EastAsia	XY	19	1.05555555555556
TSPY	ERR1019056	S_Han-2	EastAsia	XY	488	27.1111111111111
VCY	ERR1019056	S_Han-2	EastAsia	XY	21	1.16666666666667
XKRY	ERR1019056	S_Han-2	EastAsia	XY	38	2.11111111111111
CDY	ERR1019056	S_Han-2	EastAsia	XY	59	3.27777777777778
HSFY	ERR1019056	S_Han-2	EastAsia	XY	38	2.11111111111111
RBMY1A1	ERR1019056	S_Han-2	EastAsia	XY	135	7.5
PRY	ERR1019056	S_Han-2	EastAsia	XY	67	3.72222222222222
BPY2	ERR1019056	S_Han-2	EastAsia	XY	57	3.16666666666667
DAZ	ERR1019056	S_Han-2	EastAsia	XY	72	4
chrY.background	ERR1019056	S_Han-2	EastAsia	XY	18	1
TGIF2LY	ERR1019058	S_Makrani-1	SouthAsia	XY	9	0.473684210526316
PCDH11Y	ERR1019058	S_Makrani-1	SouthAsia	XY	10	0.526315789473684
SRY	ERR1019058	S_Makrani-1	SouthAsia	XY	20	1.05263157894737
